Date,Campaing_Name,Ad-group,Trip_id,Keyword,Impressions,Clicks,CTR,Cost,Conversion Rate
2015-07-25,Rodzinne wakacje,Nowe Destynacje 2015,7,dla dzieci,15343,2864,"18,67","2076,78","16,77"
2023-01-08,Wakacje dla seniorów,Last Minute 2023,5,spokojne wakacje,76962,9255,"12,03","3794,60","15,63"
2020-10-08,Wakacje dla par,Oferty Specjalne 2020,16,dla par,56550,5949,"10,52","724,90","22,67"
2023-06-12,Luksusowe podróże,All Inclusive 2023,8,luksusowe podróże,53958,2723,"5,05","1214,66","11,63"
2018-05-01,Przygoda i eksploracja,Nowe Destynacje 2018,22,egzotyka,3458,2671,"77,24","2054,76","15,82"
2019-02-11,Rodzinne wakacje,Nowe Destynacje 2019,19,rodzinne wakacje,61073,38881,"63,66","2011,50","28,11"
2019-05-28,Rodzinne wakacje,Last Minute 2019,10,rodzinne wakacje,72580,22405,"30,87","1443,04","26,20"
2024-05-08,Wakacje budżetowe,First Minute 2024,13,oferty specjalne,22833,9792,"42,89","1612,76","21,26"
2016-09-26,Egzotyczne destynacje,Oferty Specjalne 2016,1,przygoda,24004,5085,"21,18","3732,74","28,80"
2021-05-02,Relaks i wellness,First Minute 2021,11,joga,90050,47218,"52,44","1967,20","25,12"
2021-01-03,Luksusowe podróże,Last Minute 2021,4,5-gwiazdek,15804,12952,"81,95","3807,97","22,92"
2017-11-28,Przygoda i eksploracja,First Minute 2017,5,sport,16343,6751,"41,31","3561,71","22,16"
2024-11-19,Egzotyczne destynacje,Nowe Destynacje 2024,1,eksploracja,64700,14599,"22,56","4926,56","20,32"
2024-11-06,Wakacje budżetowe,First Minute 2024,2,oferty specjalne,88067,43395,"49,27","3938,36","2,78"
2017-10-26,Przygoda i eksploracja,Last Minute 2017,15,egzotyka,92304,89021,"96,44","2416,94","8,50"
2023-09-04,Rodzinne wakacje,All Inclusive 2023,26,dla dzieci,88548,51940,"58,66","947,23","2,83"
2017-09-17,Wakacje dla seniorów,First Minute 2017,15,relaks i wellness,14772,9556,"64,69","455,52","23,34"
2024-03-28,Wakacje z dziećmi,Oferty Specjalne 2024,30,dla dzieci,71890,16526,"22,99","1653,48","25,62"
2021-06-09,Wakacje dla par,Nowe Destynacje 2021,30,dla par,71336,12474,"17,49","3313,46","11,56"
2024-06-15,Luksusowe podróże,Oferty Specjalne 2024,11,5-gwiazdek,10742,4290,"39,94","3668,20","15,94"
2020-12-22,Przygoda i eksploracja,Oferty Specjalne 2020,29,przygoda,38441,4766,"12,40","1735,53","25,71"
2023-09-17,Egzotyczne destynacje,Oferty Specjalne 2023,2,dzika przyroda,11938,3272,"27,41","206,26","26,54"
2022-03-23,Rodzinne wakacje,Nowe Destynacje 2022,17,rodzinne wakacje,24627,2042,"8,29","4428,18","3,06"
2019-08-14,Przygoda i eksploracja,Last Minute 2019,30,ekstremalne,14486,13815,"95,37","503,04","27,75"
2017-09-14,Wakacje budżetowe,Oferty Specjalne 2017,9,oferty specjalne,47626,21511,"45,17","589,74","9,71"
2022-07-19,Wakacje z dziećmi,Oferty Specjalne 2022,30,rodzinne wakacje,30634,26424,"86,26","4448,24","2,17"
2017-04-29,Wakacje dla par,Last Minute 2017,18,romantyczne,60047,27466,"45,74","3935,67","16,76"
2017-06-09,Wakacje z dziećmi,First Minute 2017,21,animacje dla dzieci,83891,43151,"51,44","1804,79","24,68"
2020-11-17,Egzotyczne destynacje,Nowe Destynacje 2020,28,przygoda,42893,42070,"98,08","4616,45","21,74"
2019-08-26,Relaks i wellness,Pakiety Wakacyjne 2019,2,joga,54831,45107,"82,27","1093,14","2,98"
2017-03-02,Wakacje dla par,Pakiety Wakacyjne 2017,21,relaks i wellness,51772,45563,"88,01","4774,39","29,94"
2015-05-22,Egzotyczne destynacje,All Inclusive 2015,6,nieodkryte miejsca,86008,49914,"58,03","639,72","1,97"
2015-01-09,Wakacje budżetowe,Pakiety Wakacyjne 2015,30,oferty specjalne,2519,2203,"87,46","3066,47","27,49"
2021-05-24,Wakacje z dziećmi,Oferty Specjalne 2021,22,dla dzieci,90493,33600,"37,13","1286,71","4,60"
2019-11-19,Przygoda i eksploracja,First Minute 2019,13,przygoda,48220,13033,"27,03","520,96","7,67"
2018-10-01,Rodzinne wakacje,Last Minute 2018,20,dla dzieci,28267,28243,"99,92","488,98","21,95"
2021-09-07,Przygoda i eksploracja,Oferty Specjalne 2021,5,ekstremalne,72807,30694,"42,16","1833,39","4,08"
2023-12-16,Przygoda i eksploracja,First Minute 2023,25,przygoda,7640,2406,"31,49","1688,05","24,43"
2018-04-27,Wakacje budżetowe,Last Minute 2018,1,oferty specjalne,22553,4503,"19,97","4575,48","10,18"
2016-10-29,Rodzinne wakacje,First Minute 2016,6,dla dzieci,35878,12611,"35,15","3624,63","11,25"
2018-10-22,Egzotyczne destynacje,All Inclusive 2018,3,dzika przyroda,21732,9214,"42,40","1096,38","20,29"
2020-11-20,Przygoda i eksploracja,First Minute 2020,8,aktywne wakacje,80557,75289,"93,46","567,21","8,11"
2023-03-26,Wakacje dla par,Last Minute 2023,29,luksusowe podróże,44148,38295,"86,74","275,03","17,04"
2021-12-06,Rodzinne wakacje,Oferty Specjalne 2021,14,dla dzieci,25822,12847,"49,75","2468,80","4,32"
2021-05-15,Przygoda i eksploracja,Last Minute 2021,9,sport,42107,2729,"6,48","1869,04","29,15"
2016-01-30,Luksusowe podróże,Pakiety Wakacyjne 2016,22,wysoki standard,11296,4754,"42,09","1598,09","20,78"
2022-05-02,Wakacje budżetowe,Nowe Destynacje 2022,13,oferty specjalne,56329,50191,"89,10","3262,13","26,89"
2021-04-13,Wakacje dla seniorów,Oferty Specjalne 2021,5,dla seniorów,69340,33699,"48,60","4053,76","7,01"
2021-09-13,Wakacje dla seniorów,Oferty Specjalne 2021,3,spokojne wakacje,13608,3827,"28,12","3205,12","10,42"
2020-05-16,Luksusowe podróże,First Minute 2020,19,relaks,18508,8588,"46,40","4903,65","10,46"
2015-10-11,Przygoda i eksploracja,Oferty Specjalne 2015,4,sport,84195,43364,"51,50","103,06","3,83"
2019-03-16,Wakacje budżetowe,Oferty Specjalne 2019,25,oszczędne podróże,81136,37025,"45,63","659,75","8,83"
2017-04-05,Relaks i wellness,Oferty Specjalne 2017,28,relaks i wellness,1981,1684,"85,01","2036,46","20,93"
2016-10-21,Egzotyczne destynacje,Oferty Specjalne 2016,13,nieodkryte miejsca,23635,1288,"5,45","4808,27","28,21"
2017-10-27,Wakacje dla par,Nowe Destynacje 2017,16,romantyczne,26436,4813,"18,21","1835,67","16,39"
2024-10-14,Luksusowe podróże,Last Minute 2024,8,relaks,54693,17960,"32,84","2533,25","29,77"
