Date,Campaing_Name,Ad-group,Trip_id,Keyword,Impressions,Clicks,CTR,Cost,Conversion Rate
2018-04-30,Wakacje dla par,First Minute 2018,GXkJ4stq,relaks i wellness,13870,12592,"90,79","3609,79","13,76"
2018-04-02,Relaks i wellness,Last Minute 2018,1OJhcbq8,dla seniorów,14648,12307,"84,02","1783,97","13,28"
2021-09-21,Przygoda i eksploracja,All Inclusive 2021,xkPAg4YV,ekstremalne,88601,23568,"26,60","2449,17","11,01"
2019-03-04,Wakacje dla par,Oferty Specjalne 2019,a0Xemuoq,dla par,32268,26039,"80,70","771,49","24,07"
2022-10-24,Relaks i wellness,Nowe Destynacje 2022,tiJwB5kd,spa,58575,9798,"16,73","610,62","19,42"
2018-09-14,Wakacje dla seniorów,All Inclusive 2018,ldYYat5R,dla seniorów,4180,1625,"38,88","4256,42","24,10"
2019-08-13,Wakacje dla seniorów,Pakiety Wakacyjne 2019,scXz1thT,spokojne wakacje,8761,6825,"77,90","1615,10","2,16"
2024-09-30,Rodzinne wakacje,Pakiety Wakacyjne 2024,kSJ5JFwR,rodzinne wakacje,71841,43646,"60,75","3727,22","1,99"
2015-10-19,Przygoda i eksploracja,Pakiety Wakacyjne 2015,MitUezJ4,ekstremalne,46017,1048,"2,28","1783,23","11,29"
2017-03-08,Wakacje z dziećmi,Last Minute 2017,yw5jcQVr,rodzinne wakacje,3689,2409,"65,30","1635,63","0,12"
2023-12-18,Egzotyczne destynacje,All Inclusive 2023,SURTxXL2,nieodkryte miejsca,27541,27136,"98,53","162,77","15,21"
2024-09-15,Rodzinne wakacje,All Inclusive 2024,qBB3LGSG,rodzinne wakacje,95746,81175,"84,78","61,71","9,92"
2018-08-15,Luksusowe podróże,First Minute 2018,awTERX28,relaks,48442,22369,"46,18","2395,47","12,36"
2022-02-09,Wakacje dla par,All Inclusive 2022,OdTjmt7b,relaks i wellness,27460,13606,"49,55","594,71","11,43"
2022-05-11,Egzotyczne destynacje,Nowe Destynacje 2022,tXqF31a4,plaże,52533,3181,"6,06","2296,71","14,71"
2022-06-22,Wakacje budżetowe,Pakiety Wakacyjne 2022,dEnrt60w,oszczędne podróże,86426,36063,"41,73","3234,99","27,48"
2024-04-19,Luksusowe podróże,First Minute 2024,H1k9xLIo,relaks,16490,7017,"42,55","865,34","22,25"
2016-06-14,Rodzinne wakacje,All Inclusive 2016,jVqVvQek,dla dzieci,81465,62471,"76,68","4394,58","18,56"
2015-05-17,Luksusowe podróże,First Minute 2015,kPUC1vxZ,luksusowe podróże,51021,5358,"10,50","1839,03","13,94"
2017-11-28,Relaks i wellness,Oferty Specjalne 2017,eobTHcoN,joga,82346,70455,"85,56","1119,59","8,20"
2022-05-17,Rodzinne wakacje,Oferty Specjalne 2022,eem18rP6,rodzinne wakacje,20313,4965,"24,44","3718,93","16,32"
2015-07-27,Egzotyczne destynacje,Pakiety Wakacyjne 2015,nZASs1w1,plaże,78802,62520,"79,34","1312,68","15,35"
2017-02-11,Wakacje dla seniorów,Oferty Specjalne 2017,DnKjwg5m,dla seniorów,71961,12365,"17,18","3182,36","3,56"
2021-08-09,Przygoda i eksploracja,Last Minute 2021,lwxRmioF,sport,10246,5962,"58,19","4727,69","15,00"
2022-01-23,Luksusowe podróże,Last Minute 2022,ZVSOnHjm,5-gwiazdek,80737,6126,"7,59","4228,86","7,92"
2017-09-14,Wakacje dla par,Pakiety Wakacyjne 2017,9jf1PdH9,luksusowe podróże,53775,17310,"32,19","2211,79","2,70"
